id,date,type,amount,category,description
68fd9365-533f-4af8-b627-a98de8e4ba9f,2025-01-03,Income,3780.14,Salary,Google LLC Payroll PPD ID: J770493581
5682ebc9-df82-4d91-8682-749072afcd65,2025-01-03,Expense,7140,Education,Northeastern Uni Northeastu 002744385 Web ID: 3041679980
a0efac50-c5d0-4b1b-b88e-9997118f715e,2025-01-07,Expense,453.21,Utilities,Cabernet Vineyar Onlinepay 67061 Web ID: 1770253454
7f46a5de-e3f2-4393-a089-1482ddc7d8a9,2025-01-09,Expense,180.68,Utilities,PG&E
f59c1a15-956a-4aaf-a1bd-f4011b1d58dc,2025-01-09,Expense,129.04,Transfer,Zelle Payment To The Church IN Campbell Jpm99Aue2Fn5
ff2d0f9f-80e0-41eb-b5fb-7d3b39b3c1ab,2025-01-14,Expense,124,Transfer,Zelle Payment To Ruogu 23385213352
18e1d4a0-47eb-400e-9f0e-30435af472a4,2025-01-16,Expense,4231.91,Mortgage,Wf Home Mtg Auto Pay 0580287431 Web ID: 1562287461
4c6587d2-6dd9-434b-b48d-54b74bd9442d,2025-01-17,Income,4043.32,Salary,Payroll LLC Google PPD ID: J770493581
cb7a9922-bf77-42aa-a7b7-c0f321036291,2025-01-31,Income,0.12,Interest,Interest Payment
10c41c0e-b506-4954-a9a0-0a8585382e78,2025-01-31,Income,3.73,Interest,Interest Payment
abc582ce-c16b-4207-9b90-b6db98a58839,2025-05-19,Income,25.15,Refund,AMAZON MKTPLACE PMTS Amzn.com/bill WA
23857b87-5137-4f9b-84e4-1bdfcb312fce,2025-04-26,Expense,20.02,Groceries,LION FOOD CENTER SAN JOSE CA
78395c43-e831-4ef0-acee-33685db990f8,2025-04-26,Expense,500,Automotive,FREEMAN TOYOTA WWW.FREEMAN-T CA
d63acb73-358f-4ab2-a105-7c98a5bcb7b1,2025-04-29,Expense,2.89,Shopping,Amazon.com*YS1LK3543 Amzn.com/bill WA
830985d0-ad67-4bb0-bdae-be9a4c411f9b,2025-04-29,Expense,25.15,Shopping,AMAZON MKTPL NB4PJ6XP2 Amzn.com/bill WA
82a52a03-1e06-492e-a4a3-4e761d0a3105,2025-04-29,Expense,23.61,Shopping,AMAZON MKTPL*EK7CO6MY3 Amzn.com/bill WA
ea1414dd-bb21-47d9-b369-451d4b202479,2025-04-30,Expense,9.21,Shopping,AMAZON MKTPL N29NS2K01 Amzn.com/bill WA
03431e9c-f5d1-4a30-9740-17c1cc39c6ab,2025-05-03,Expense,21.86,Shopping,AMAZON MKTPL*NB47J7NC0 Amzn.com/bill WA
60074a56-c62d-4d74-810b-56275cb84185,2025-05-02,Expense,51.52,Groceries,SAFEWAY #0700 SANTA CLARA CA
9e14a4ad-29c9-42d6-94d8-60a259e95a41,2025-05-04,Expense,13.5,Shopping,AMAZON MKTPL N103W9TJ2 Amzn.com/bill WA
ead33f14-a914-4539-98f2-dfcb562aeb4f,2025-05-04,Expense,98.43,Shopping,AMAZON MKTPL NB4P530J1 Amzn.com/bill WA
3627348e-edca-4a88-a91f-a4dc8a230f86,2025-05-05,Expense,39.36,Shopping,AMAZON MKTPL*NB43B85L0 Amzn.com/bill WA
be468d65-7aa7-483f-afc0-d33431bf8a20,2025-05-07,Expense,25.15,Shopping,AMAZON MKTPL NI1OF8SV2 Amzn.com/bill WA
20b22d1c-1206-46e2-babd-5ebe7f5820d0,2025-05-09,Expense,66.28,Groceries,COSTCO WHSE #0423 SUNNYVALE CA
2773fbe7-e84b-4db3-8fe6-42e67700da6d,2025-05-10,Expense,120.3,Shopping,AMAZON MKTPL NW7GJ0GL2 Amzn.com/bill WA
28bc5c30-7c38-447a-935c-ad8d41be6f86,2025-05-12,Expense,28.54,Shopping,AMAZON MKTPL NW85H58X2 Amzn.com/bill WA
d9d55a52-2c6d-412f-9fef-e0d30eff4e99,2025-05-11,Expense,6.81,Groceries,CUPERTINI MARKET CUPERTINO CA
